mitigator_code,mitigator_description
ambulatory_care_conditions_acute,"This cohort includes emergency admissions for the following acute Ambulatory Care Sensitive Conditions (ACSC): Dehydration and gastroenteritis; Pyelonephritis; Perforated/bleeding ulcer; Cellulitis;  Pelvic inflammatory disease; Ear, nose and throat infections; Dental conditions; Convulsions and epilepsy and Gangrene. These admission can potentially be avoided with effective management and treatment such as improved primary or community health care services. "
ambulatory_care_conditions_chronic,"This cohort includes emergency admissions for the following chronic Ambulatory Care Sensitive Conditions (ACSC): Asthma, Congestive heart failure, Diabetes complications,Chronic obstructive pulmonary disease, Angina, Iron-deficiency anaemia, Hypertension and Nutritional deficiencies. These admission can potentially be avoided with effective management and treatment such as improved primary or community health care services, including screening and monitoring. "
ambulatory_care_conditions_vaccine_preventable,"This cohort includes emergency admissions for vaccine preventable Ambulatory Care Sensitive Conditions (ACSC), including influenza and pneumonia. These admission can potentially be avoided with effective vaccination programmes.  "
eol_care_2_days,"This cohort includes admissions where a patient dies in hospital within 2 days of admission, where there is no indication they experienced any trauma and no procedure is carried out. These admissions may be been avoided by appriopriate support in an alternative setting. "
eol_care_3_to_14_days,"This cohort includes admissions where a patient dies in hospital 3-14 days after admission, where there is no indication they experienced any trauma and no procedure is carried out. These admissions may be been avoided by appriopriate support in an alternative setting. "
falls_related_admissions,"This cohort includes emergency admissions related to falls in those aged 65 or over. Admissions are classed as fall related and included in this cohort if a) there is a fall related ICD10 code and a traumatic injury (explicit), b) the primary diagnosis ICD code is R296 (Tendency to fall) or, c) the diagnosis code is for one of a number of fractures that are commonly associated with a fall. Some of these admissions may be potentially avoidable if appropriate preventative services are in place, such as home risk assessments for trip hazards, strength and balance training for those at risk and falls telemonitoring. "
frail_elderly_high,"This cohort includes emergency admissions of older patients with a high level of frailty, specifically, those 75 years of age or over and a frailty score over 15. The frailty score is calculated from ICD-10 diagnoses recorded for admissions during the previous 2 years and using the risk scores in Gilbert et al (2018), Development and validation of a Hospital Frailty Risk Score focusing on older people in acute care settings using electronic hospital records: an observational study. The Lancet, 391(10132), pp.1775-1782."
frail_elderly_intermediate,"This cohort includes emergency admissions of older patients with an intermediate level of frailty, specifically, those 75 years of age or over and a frailty score between 5 and 15. The frailty score is calculated from ICD-10 diagnoses recorded for admissions during the previous 2 years and using the risk scores in Gilbert et al (2018), Development and validation of a Hospital Frailty Risk Score focusing on older people in acute care settings using electronic hospital records: an observational study. The Lancet, 391(10132), pp.1775-1782."
medicines_related_admissions_explicit,"This cohort includes emergency admissions where  the presence of one or more ICD10 diagnosis codes indicate the use of a medicine is a factor in the admission. Admissions can occur due to drug therapy failure, adverse reactions to drug therapy, failure to adhere to prescribed regimen or unintentional overdose. Admissions of this type could potentially be prevented with better self management on the patients’ part or improved medicines management."
medicines_related_admissions_implicit_anti_diabetics,"This cohort includes emergency admissions where an anti-diabetic medication related cause is not explicitly recorded but may be a factor in the admission, for example a diagnosis code related to hypoglycaemic or diabetes mellitus, along with a medication related adverse event code.  Admissions of this type could potentially be prevented with better self management on the patients’ part or improved medicines management."
medicines_related_admissions_implicit_benzodiasepines," This cohort includes emergency admissions where a benzopiasepine related cause is not explicitly recorded but may be a factor in the admission. For example a diagnosis code related to mental or behavioural disorders or a diagnosis code related to an injury/fracture, along with a medication related adverse event code. Admissions of this type could potentially be prevented with better self management on the patients’ part or improved medicines management."
medicines_related_admissions_implicit_diurectics," This cohort includes emergency admissions where a diurectic related cause is not explicitly recorded but may be a factor in the admission. For example a diagnosis code related to dehydration or hypertension, along with a medication related adverse event code. Admissions of this type could potentially be prevented with better self management on the patients’ part or improved medicines management."
medicines_related_admissions_implicit_nsaids," This cohort includes emergency admissions where a Non-Steroidal Anti-Inflamatory (NSAIDs) related cause is not explicitly recorded but may be a factor in the admission. For example, an admission with a primary diagnosis of gastric ulcer and a secondary diagnosis of arthritis, along with a medication related adverse event code, which may suggest long term use of high dose NSAIDs as a possible cause of admission. Admissions of this type could potentially be prevented with better self management on the patients’ part or improved medicines management."
